id,Status_C,Status_CL,Status_D
7905,0.62387496,0.17441201,0.20171297
7906,0.62731427,0.18534787,0.18733785
7907,0.1758702,0.1854849,0.63864493
7908,0.6836825,0.15052049,0.16579695
7909,0.5727397,0.16711362,0.26014674
7910,0.6875411,0.14904031,0.16341862
7911,0.68800825,0.14846209,0.16352965
7912,0.49721542,0.16835731,0.3344272
7913,0.16897939,0.14936423,0.68165636
7914,0.53029686,0.16074659,0.30895656
7915,0.555886,0.16779856,0.27631548
7916,0.60439557,0.1580703,0.23753415
7917,0.40251473,0.23966491,0.3578204
7918,0.59432524,0.163345,0.24232978
7919,0.46305534,0.21266688,0.32427773
7920,0.6496247,0.15504697,0.19532835
7921,0.6743151,0.1491679,0.176517
7922,0.17817494,0.16844766,0.6533774
7923,0.5748472,0.14527144,0.27988136
7924,0.47997788,0.22558254,0.2944396
7925,0.1466314,0.14989619,0.7034724
7926,0.5934587,0.1624403,0.244101
7927,0.54026043,0.22276714,0.23697247
7928,0.16435553,0.1740876,0.6615569
7929,0.63221294,0.16856997,0.1992171
7930,0.22510192,0.218015,0.5568831
7931,0.6058998,0.1691273,0.22497289
7932,0.26190832,0.17247091,0.5656207
7933,0.5192771,0.16510995,0.3156129
7934,0.68800825,0.14846209,0.16352965
7935,0.67074645,0.15919122,0.17006236
7936,0.67664206,0.15074073,0.1726172
7937,0.45348096,0.20784879,0.33867028
7938,0.6735022,0.15573674,0.17076106
7939,0.3450908,0.21446812,0.4404411
7940,0.47178727,0.2588988,0.2693139
7941,0.170013,0.19832958,0.6316574
7942,0.68800825,0.14846209,0.16352965
7943,0.24445522,0.18164805,0.5738967
7944,0.68800825,0.14846209,0.16352965
7945,0.6377536,0.15221368,0.21003269
7946,0.6615235,0.16106492,0.17741157
7947,0.60887754,0.16158298,0.2295395
7948,0.26828614,0.18251938,0.54919446
7949,0.15987663,0.1619527,0.6781707
7950,0.64619946,0.15609768,0.19770283
7951,0.48322782,0.19180335,0.32496879
7952,0.29601535,0.21195781,0.49202678
7953,0.15586442,0.14827439,0.69586116
7954,0.59795105,0.16993469,0.23211427
7955,0.35929242,0.19374745,0.44696015
7956,0.1746892,0.17293279,0.65237796
7957,0.6852446,0.1518826,0.16287278
7958,0.15660669,0.14814402,0.6952493
7959,0.616349,0.1721381,0.21151292
7960,0.32824653,0.1627095,0.50904393
7961,0.6836825,0.15052049,0.16579695
